ns4:QUOTE_DATE;ns4:RATE_TYPE;ns4:RATE
19-3-2010 00:00;Over_10_Years;4,260000229
19-3-2010 00:00;Real_Rate;2,049999952
22-3-2010 00:00;BC_20year;4,409999847
22-3-2010 00:00;Over_10_Years;4,260000229
22-3-2010 00:00;Real_Rate;2,039999962
23-3-2010 00:00;BC_20year;4,429999828
23-3-2010 00:00;Over_10_Years;4,269999981
23-3-2010 00:00;Real_Rate;2,049999952
24-3-2010 00:00;BC_20year;4,559999943
24-3-2010 00:00;Over_10_Years;4,409999847
24-3-2010 00:00;Real_Rate;2,150000095
25-3-2010 00:00;BC_20year;4,630000114
25-3-2010 00:00;Over_10_Years;4,480000019
25-3-2010 00:00;Real_Rate;2,170000076
26-3-2010 00:00;BC_20year;4,599999905
26-3-2010 00:00;Over_10_Years;4,449999809
26-3-2010 00:00;Real_Rate;2,140000105
29-3-2010 00:00;BC_20year;4,610000134
29-3-2010 00:00;Over_10_Years;4,449999809
29-3-2010 00:00;Real_Rate;2,170000076
30-3-2010 00:00;BC_20year;4,590000153
30-3-2010 00:00;Over_10_Years;4,449999809
30-3-2010 00:00;Real_Rate;2,170000076
31-3-2010 00:00;BC_20year;4,550000191
31-3-2010 00:00;Over_10_Years;4,409999847
31-3-2010 00:00;Real_Rate;2,099999905
1-4-2010 00:00;BC_20year;4,579999924
1-4-2010 00:00;Over_10_Years;4,429999828
1-4-2010 00:00;Real_Rate;2,099999905
2-4-2010 00:00;BC_20year;4,650000095
2-4-2010 00:00;Over_10_Years;4,510000229
2-4-2010 00:00;Real_Rate;2,170000076
5-4-2010 00:00;BC_20year;4,690000057
5-4-2010 00:00;Over_10_Years;4,550000191
5-4-2010 00:00;Real_Rate;2,190000057
6-4-2010 00:00;BC_20year;4,679999828
6-4-2010 00:00;Over_10_Years;4,539999962
6-4-2010 00:00;Real_Rate;2,150000095
7-4-2010 00:00;BC_20year;4,579999924
7-4-2010 00:00;Over_10_Years;4,440000057
7-4-2010 00:00;Real_Rate;2,039999962
8-4-2010 00:00;BC_20year;4,599999905
8-4-2010 00:00;Over_10_Years;4,460000038
8-4-2010 00:00;Real_Rate;2,069999933
9-4-2010 00:00;BC_20year;4,579999924
9-4-2010 00:00;Over_10_Years;4,440000057
9-4-2010 00:00;Real_Rate;2,049999952
12-4-2010 00:00;BC_20year;4,539999962
12-4-2010 00:00;Over_10_Years;4,400000095
12-4-2010 00:00;Real_Rate;2,00999999
13-4-2010 00:00;BC_20year;4,519999981
13-4-2010 00:00;Over_10_Years;4,380000114
13-4-2010 00:00;Real_Rate;2
14-4-2010 00:00;BC_20year;4,570000172
14-4-2010 00:00;Over_10_Years;4,429999828
14-4-2010 00:00;Real_Rate;2,019999981
15-4-2010 00:00;BC_20year;4,559999943
15-4-2010 00:00;Over_10_Years;4,409999847
15-4-2010 00:00;Real_Rate;1,99000001
16-4-2010 00:00;BC_20year;4,5
16-4-2010 00:00;Over_10_Years;4,360000134
16-4-2010 00:00;Real_Rate;1,960000038
19-4-2010 00:00;BC_20year;4,539999962
19-4-2010 00:00;Over_10_Years;4,389999866
19-4-2010 00:00;Real_Rate;2
20-4-2010 00:00;BC_20year;4,510000229
20-4-2010 00:00;Over_10_Years;4,369999886
20-4-2010 00:00;Real_Rate;1,970000029
21-4-2010 00:00;BC_20year;4,449999809
21-4-2010 00:00;Over_10_Years;4,309999943
21-4-2010 00:00;Real_Rate;1,919999957
22-4-2010 00:00;BC_20year;4,480000019
22-4-2010 00:00;Over_10_Years;4,340000153
22-4-2010 00:00;Real_Rate;1,950000048
23-4-2010 00:00;BC_20year;4,510000229
23-4-2010 00:00;Over_10_Years;4,369999886
23-4-2010 00:00;Real_Rate;1,950000048
26-4-2010 00:00;BC_20year;4,5
26-4-2010 00:00;Over_10_Years;4,360000134
26-4-2010 00:00;Real_Rate;1,950000048
27-4-2010 00:00;BC_20year;4,400000095
27-4-2010 00:00;Over_10_Years;4,25
27-4-2010 00:00;Real_Rate;1,870000005
28-4-2010 00:00;BC_20year;4,46999979
28-4-2010 00:00;Over_10_Years;4,329999924
28-4-2010 00:00;Real_Rate;1,899999976
29-4-2010 00:00;BC_20year;4,420000076
29-4-2010 00:00;Over_10_Years;4,28000021
29-4-2010 00:00;Real_Rate;1,820000052
30-4-2010 00:00;BC_20year;4,360000134
30-4-2010 00:00;Over_10_Years;4,21999979
30-4-2010 00:00;Real_Rate;1,799999952
3-5-2010 00:00;BC_20year;4,369999886
3-5-2010 00:00;Over_10_Years;4,230000019
3-5-2010 00:00;Real_Rate;1,820000052
4-5-2010 00:00;BC_20year;4,269999981
4-5-2010 00:00;Over_10_Years;4,130000114
4-5-2010 00:00;Real_Rate;1,789999962
5-5-2010 00:00;BC_20year;4,230000019
5-5-2010 00:00;Over_10_Years;4,099999905
5-5-2010 00:00;Real_Rate;1,779999971
6-5-2010 00:00;BC_20year;4,03000021
6-5-2010 00:00;Over_10_Years;3,910000086
6-5-2010 00:00;Real_Rate;1,669999957
7-5-2010 00:00;BC_20year;4,110000134
7-5-2010 00:00;Over_10_Years;3,980000019
7-5-2010 00:00;Real_Rate;1,75
10-5-2010 00:00;BC_20year;4,230000019
10-5-2010 00:00;Over_10_Years;4,090000153
10-5-2010 00:00;Real_Rate;1,789999962
11-5-2010 00:00;BC_20year;4,239999771
11-5-2010 00:00;Over_10_Years;4,099999905
11-5-2010 00:00;Real_Rate;1,789999962
12-5-2010 00:00;BC_20year;4,289999962
12-5-2010 00:00;Over_10_Years;4,139999866
12-5-2010 00:00;Real_Rate;1,779999971
13-5-2010 00:00;BC_20year;4,260000229
13-5-2010 00:00;Over_10_Years;4,119999886
13-5-2010 00:00;Real_Rate;1,769999981
14-5-2010 00:00;BC_20year;4,130000114
14-5-2010 00:00;Over_10_Years;4
14-5-2010 00:00;Real_Rate;1,720000029
17-5-2010 00:00;BC_20year;4,170000076
17-5-2010 00:00;Over_10_Years;4,059999943
17-5-2010 00:00;Real_Rate;1,75999999
18-5-2010 00:00;BC_20year;4,079999924
18-5-2010 00:00;Over_10_Years;3,970000029
18-5-2010 00:00;Real_Rate;1,700000048
19-5-2010 00:00;BC_20year;4,070000172
19-5-2010 00:00;Over_10_Years;3,960000038
19-5-2010 00:00;Real_Rate;1,75999999
20-5-2010 00:00;BC_20year;3,960000038
20-5-2010 00:00;Over_10_Years;3,849999905
20-5-2010 00:00;Real_Rate;1,779999971
21-5-2010 00:00;BC_20year;3,910000086
21-5-2010 00:00;Over_10_Years;3,799999952
21-5-2010 00:00;Real_Rate;1,730000019
24-5-2010 00:00;BC_20year;3,960000038
24-5-2010 00:00;Over_10_Years;3,839999914
24-5-2010 00:00;Real_Rate;1,75
25-5-2010 00:00;BC_20year;3,910000086
25-5-2010 00:00;Over_10_Years;3,789999962
25-5-2010 00:00;Real_Rate;1,779999971
26-5-2010 00:00;BC_20year;3,940000057
26-5-2010 00:00;Over_10_Years;3,829999924
26-5-2010 00:00;Real_Rate;1,75999999
27-5-2010 00:00;BC_20year;4,079999924
27-5-2010 00:00;Over_10_Years;3,960000038
27-5-2010 00:00;Real_Rate;1,789999962
28-5-2010 00:00;BC_20year;4,050000191
28-5-2010 00:00;Over_10_Years;3,940000057
28-5-2010 00:00;Real_Rate;1,779999971
1-6-2010 00:00;BC_20year;4,03000021
1-6-2010 00:00;Over_10_Years;3,920000076
1-6-2010 00:00;Real_Rate;1,769999981
2-6-2010 00:00;BC_20year;4,079999924
2-6-2010 00:00;Over_10_Years;3,970000029
2-6-2010 00:00;Real_Rate;1,799999952
3-6-2010 00:00;BC_20year;4,119999886
3-6-2010 00:00;Over_10_Years;4
3-6-2010 00:00;Real_Rate;1,789999962
4-6-2010 00:00;BC_20year;3,950000048
4-6-2010 00:00;Over_10_Years;3,829999924
4-6-2010 00:00;Real_Rate;1,720000029
7-6-2010 00:00;BC_20year;3,930000067
7-6-2010 00:00;Over_10_Years;3,809999943
7-6-2010 00:00;Real_Rate;1,710000038
8-6-2010 00:00;BC_20year;3,920000076
8-6-2010 00:00;Over_10_Years;3,809999943
8-6-2010 00:00;Real_Rate;1,730000019
9-6-2010 00:00;BC_20year;3,940000057
9-6-2010 00:00;Over_10_Years;3,819999933
9-6-2010 00:00;Real_Rate;1,730000019
10-6-2010 00:00;BC_20year;4,059999943
10-6-2010 00:00;Over_10_Years;3,950000048
10-6-2010 00:00;Real_Rate;1,809999943
11-6-2010 00:00;BC_20year;3,970000029
11-6-2010 00:00;Over_10_Years;3,849999905
11-6-2010 00:00;Real_Rate;1,75
14-6-2010 00:00;BC_20year;4,019999981
14-6-2010 00:00;Over_10_Years;3,900000095
14-6-2010 00:00;Real_Rate;1,769999981
15-6-2010 00:00;BC_20year;4,059999943
15-6-2010 00:00;Over_10_Years;3,940000057
15-6-2010 00:00;Real_Rate;1,779999971
16-6-2010 00:00;BC_20year;4
16-6-2010 00:00;Over_10_Years;3,880000114
16-6-2010 00:00;Real_Rate;1,74000001
17-6-2010 00:00;BC_20year;3,950000048
17-6-2010 00:00;Over_10_Years;3,829999924
17-6-2010 00:00;Real_Rate;1,679999948
18-6-2010 00:00;BC_20year;3,970000029
18-6-2010 00:00;Over_10_Years;3,849999905
18-6-2010 00:00;Real_Rate;1,710000038
21-6-2010 00:00;BC_20year;3,99000001
21-6-2010 00:00;Over_10_Years;3,869999886
21-6-2010 00:00;Real_Rate;1,700000048
22-6-2010 00:00;BC_20year;3,920000076
22-6-2010 00:00;Over_10_Years;3,799999952
22-6-2010 00:00;Real_Rate;1,659999967
23-6-2010 00:00;BC_20year;3,869999886
23-6-2010 00:00;Over_10_Years;3,75
23-6-2010 00:00;Real_Rate;1,659999967
24-6-2010 00:00;BC_20year;3,910000086
24-6-2010 00:00;Over_10_Years;3,779999971
24-6-2010 00:00;Real_Rate;1,700000048
25-6-2010 00:00;BC_20year;3,890000105
25-6-2010 00:00;Over_10_Years;3,75999999
25-6-2010 00:00;Real_Rate;1,679999948
28-6-2010 00:00;BC_20year;3,819999933
28-6-2010 00:00;Over_10_Years;3,690000057
28-6-2010 00:00;Real_Rate;1,669999957
29-6-2010 00:00;BC_20year;3,75999999
29-6-2010 00:00;Over_10_Years;3,630000114
29-6-2010 00:00;Real_Rate;1,639999986
30-6-2010 00:00;BC_20year;3,74000001
30-6-2010 00:00;Over_10_Years;3,609999895
30-6-2010 00:00;Real_Rate;1,659999967
1-7-2010 00:00;BC_20year;3,710000038
1-7-2010 00:00;Over_10_Years;3,579999924
1-7-2010 00:00;Real_Rate;1,710000038
2-7-2010 00:00;BC_20year;3,769999981
2-7-2010 00:00;Over_10_Years;3,640000105
2-7-2010 00:00;Real_Rate;1,75999999
6-7-2010 00:00;BC_20year;3,710000038
6-7-2010 00:00;Over_10_Years;3,579999924
6-7-2010 00:00;Real_Rate;1,74000001
7-7-2010 00:00;BC_20year;3,779999971
7-7-2010 00:00;Over_10_Years;3,640000105
7-7-2010 00:00;Real_Rate;1,799999952
8-7-2010 00:00;BC_20year;3,809999943
8-7-2010 00:00;Over_10_Years;3,670000076
8-7-2010 00:00;Real_Rate;1,75999999
9-7-2010 00:00;BC_20year;3,849999905
9-7-2010 00:00;Over_10_Years;3,710000038
9-7-2010 00:00;Real_Rate;1,769999981
12-7-2010 00:00;BC_20year;3,859999895
12-7-2010 00:00;Over_10_Years;3,720000029
12-7-2010 00:00;Real_Rate;1,769999981
13-7-2010 00:00;BC_20year;3,920000076
13-7-2010 00:00;Over_10_Years;3,769999981
13-7-2010 00:00;Real_Rate;1,799999952
14-7-2010 00:00;BC_20year;3,839999914
14-7-2010 00:00;Over_10_Years;3,700000048
14-7-2010 00:00;Real_Rate;1,75
15-7-2010 00:00;BC_20year;3,769999981
15-7-2010 00:00;Over_10_Years;3,630000114
15-7-2010 00:00;Real_Rate;1,74000001
16-7-2010 00:00;BC_20year;3,74000001
16-7-2010 00:00;Over_10_Years;3,599999905
16-7-2010 00:00;Real_Rate;1,789999962
19-7-2010 00:00;BC_20year;3,779999971
19-7-2010 00:00;Over_10_Years;3,640000105
19-7-2010 00:00;Real_Rate;1,850000024
20-7-2010 00:00;BC_20year;3,779999971
20-7-2010 00:00;Over_10_Years;3,630000114
20-7-2010 00:00;Real_Rate;1,850000024
21-7-2010 00:00;BC_20year;3,680000067
21-7-2010 00:00;Over_10_Years;3,529999971
21-7-2010 00:00;Real_Rate;1,769999981
22-7-2010 00:00;BC_20year;3,75
22-7-2010 00:00;Over_10_Years;3,599999905
22-7-2010 00:00;Real_Rate;1,779999971
23-7-2010 00:00;BC_20year;3,809999943
23-7-2010 00:00;Over_10_Years;3,660000086
23-7-2010 00:00;Real_Rate;1,830000043
26-7-2010 00:00;BC_20year;3,819999933
26-7-2010 00:00;Over_10_Years;3,670000076
26-7-2010 00:00;Real_Rate;1,830000043
27-7-2010 00:00;BC_20year;3,880000114
27-7-2010 00:00;Over_10_Years;3,730000019
27-7-2010 00:00;Real_Rate;1,850000024
28-7-2010 00:00;BC_20year;3,859999895
28-7-2010 00:00;Over_10_Years;3,700000048
28-7-2010 00:00;Real_Rate;1,809999943
29-7-2010 00:00;BC_20year;3,859999895
29-7-2010 00:00;Over_10_Years;3,700000048
29-7-2010 00:00;Real_Rate;1,820000052
30-7-2010 00:00;BC_20year;3,74000001
30-7-2010 00:00;Over_10_Years;3,589999914
30-7-2010 00:00;Real_Rate;1,75
2-8-2010 00:00;BC_20year;3,819999933
2-8-2010 00:00;Over_10_Years;3,660000086
2-8-2010 00:00;Real_Rate;1,75
3-8-2010 00:00;BC_20year;3,779999971
3-8-2010 00:00;Over_10_Years;3,619999886
3-8-2010 00:00;Real_Rate;1,700000048
4-8-2010 00:00;BC_20year;3,809999943
4-8-2010 00:00;Over_10_Years;3,650000095
4-8-2010 00:00;Real_Rate;1,730000019
5-8-2010 00:00;BC_20year;3,779999971
5-8-2010 00:00;Over_10_Years;3,619999886
5-8-2010 00:00;Real_Rate;1,700000048
6-8-2010 00:00;BC_20year;3,710000038
6-8-2010 00:00;Over_10_Years;3,549999952
6-8-2010 00:00;Real_Rate;1,679999948
